DEB [20181124-12:45:16.691] thr=1   paramiko.transport: starting thread (client mode): 0x739b128
DEB [20181124-12:45:16.692] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.4.2
DEB [20181124-12:45:16.744] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.6
INF [20181124-12:45:16.744] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_7.2p2)
DEB [20181124-12:45:16.788] thr=1   paramiko.transport: kex algos:['curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group-exchange-sha256', 'diffie-hellman-group14-sha1'] server key:['ssh-rsa', 'rsa-sha2-512', 'rsa-sha2-256', 'ecdsa-sha2-nistp256', 'ssh-ed25519'] client encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] server encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] client mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] server mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
DEB [20181124-12:45:16.789] thr=1   paramiko.transport: Kex agreed: ecdh-sha2-nistp256
DEB [20181124-12:45:16.789] thr=1   paramiko.transport: HostKey agreed: ssh-ed25519
DEB [20181124-12:45:16.789] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20181124-12:45:16.789] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20181124-12:45:16.789] thr=1   paramiko.transport: Compression agreed: none
DEB [20181124-12:45:16.893] thr=1   paramiko.transport: kex engine KexNistp256 specified hash_algo <built-in function openssl_sha256>
DEB [20181124-12:45:16.895] thr=1   paramiko.transport: Switch to new keys ...
DEB [20181124-12:45:16.897] thr=2   paramiko.transport: Adding ssh-ed25519 host key for staging-gateway.com: b'fbd495f8f217146300e321f7b6f8619c'
DEB [20181124-12:45:16.902] thr=2   paramiko.transport: Trying discovered key b'3784490e13095569022bc87a3919f4df' in /Users/chaz/.ssh/id_rsa
DEB [20181124-12:45:17.007] thr=1   paramiko.transport: userauth is OK
INF [20181124-12:45:17.080] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20181124-12:45:20.228] thr=3   paramiko.transport: starting thread (client mode): 0x7d59f28
DEB [20181124-12:45:20.228] thr=3   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.4.2
DEB [20181124-12:45:20.269] thr=3   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.6
INF [20181124-12:45:20.269] thr=3   paramiko.transport: Connected (version 2.0, client OpenSSH_7.2p2)
DEB [20181124-12:45:20.306] thr=3   paramiko.transport: kex algos:['curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group-exchange-sha256', 'diffie-hellman-group14-sha1'] server key:['ssh-rsa', 'rsa-sha2-512', 'rsa-sha2-256', 'ecdsa-sha2-nistp256', 'ssh-ed25519'] client encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] server encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] client mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] server mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
DEB [20181124-12:45:20.306] thr=3   paramiko.transport: Kex agreed: ecdh-sha2-nistp256
DEB [20181124-12:45:20.307] thr=3   paramiko.transport: HostKey agreed: ssh-ed25519
DEB [20181124-12:45:20.307] thr=3   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20181124-12:45:20.307] thr=3   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20181124-12:45:20.307] thr=3   paramiko.transport: Compression agreed: none
DEB [20181124-12:45:20.433] thr=3   paramiko.transport: kex engine KexNistp256 specified hash_algo <built-in function openssl_sha256>
DEB [20181124-12:45:20.434] thr=3   paramiko.transport: Switch to new keys ...
DEB [20181124-12:45:20.437] thr=2   paramiko.transport: Trying discovered key b'3784490e13095569022bc87a3919f4df' in /Users/chaz/.ssh/id_rsa
DEB [20181124-12:45:20.554] thr=3   paramiko.transport: userauth is OK
INF [20181124-12:45:20.604] thr=3   paramiko.transport: Authentication (publickey) failed.
DEB [20181124-12:45:20.642] thr=3   paramiko.transport: userauth is OK
DEB [20181124-12:45:20.678] thr=3   paramiko.transport: Authentication type (password) not permitted.
DEB [20181124-12:45:20.679] thr=3   paramiko.transport: Allowed methods: ['publickey']
DEB [20181124-12:47:59.338] thr=1   paramiko.transport: starting thread (client mode): 0xc5b0da0
DEB [20181124-12:47:59.338] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.4.2
DEB [20181124-12:47:59.385] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.6
INF [20181124-12:47:59.386] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_7.2p2)
DEB [20181124-12:47:59.422] thr=1   paramiko.transport: kex algos:['curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group-exchange-sha256', 'diffie-hellman-group14-sha1'] server key:['ssh-rsa', 'rsa-sha2-512', 'rsa-sha2-256', 'ecdsa-sha2-nistp256', 'ssh-ed25519'] client encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] server encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] client mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] server mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
DEB [20181124-12:47:59.422] thr=1   paramiko.transport: Kex agreed: ecdh-sha2-nistp256
DEB [20181124-12:47:59.422] thr=1   paramiko.transport: HostKey agreed: ssh-ed25519
DEB [20181124-12:47:59.422] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20181124-12:47:59.422] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20181124-12:47:59.423] thr=1   paramiko.transport: Compression agreed: none
DEB [20181124-12:47:59.499] thr=1   paramiko.transport: kex engine KexNistp256 specified hash_algo <built-in function openssl_sha256>
DEB [20181124-12:47:59.499] thr=1   paramiko.transport: Switch to new keys ...
DEB [20181124-12:47:59.500] thr=2   paramiko.transport: Adding ssh-ed25519 host key for staging-gateway.com: b'fbd495f8f217146300e321f7b6f8619c'
DEB [20181124-12:47:59.502] thr=2   paramiko.transport: Trying discovered key b'3784490e13095569022bc87a3919f4df' in /Users/chaz/.ssh/id_rsa
DEB [20181124-12:47:59.609] thr=1   paramiko.transport: userauth is OK
INF [20181124-12:47:59.658] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20181124-12:48:03.381] thr=3   paramiko.transport: starting thread (client mode): 0xcfa8be0
DEB [20181124-12:48:03.381] thr=3   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.4.2
DEB [20181124-12:48:03.423] thr=3   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.6
INF [20181124-12:48:03.423] thr=3   paramiko.transport: Connected (version 2.0, client OpenSSH_7.2p2)
